Date,AGG,AGIH,AGRH,AGZ,BEMB,BGRN,BMOIX,BYLD,CEMB,CMF,EAGG,ELQD,EMB,EMHY,EUSB,FALN,FIBR,FLOT,GBF,GHYG,GNMA,GOVT,GOVZ,GVI,HYBB,HYDB,HYG,HYGH,HYGI,HYGW,HYXF,HYXU,IAGG,IBDQ,IBDS,IBDT,IBDU,IBDV,IBDW,IBDY,IBHE,IBHF,IBHG,IBHH,IBHI,IBHJ,IBIB,IBIC,IBID,IBIE,IBIF,IBIG,IBIH,IBII,IBIJ,IBMN,IBMO,IBMP,IBMQ,IBMR,IBTF,IBTG,IBTH,IBTI,IBTJ,IBTK,IBTL,IBTM,IBTO,ICSH,ICVT,IEF,IEI,IGBH,IGEB,IGIB,IGLB,IGOV,IGSB,ILTB,IMTB,ISHG,ISTB,IUSB,LEMB,LQD,LQDB,LQDH,LQDI,LQDW,MEAR,MUB,NEAR,NYF,QLTA,SGOV,SHV,SHY,SHYG,SLQD,STIP,SUB,SUSB,SUSC,TFLO,TIP,TLH,TLT,TLTW,USHY,USIG
2020-05-11,101.73,,,107.3,,47.26,9.33,20.67,38.85,55.08,49.12,,81.28,29.01,,19.15,83.9,42.74,108.13,34.32,45.77,24.99,,103.58,,33.38,61.36,57.34,,,36.78,39.81,48.93,22.57,21.73,22.91,21.18,,,,16.79,,,,,,,,,,,,,,,25.6,24.51,24.2,24.37,,23.05,23.24,23.36,23.65,23.61,,,,,43.89,53.36,108.55,121.71,16.44,41.47,48.47,52.16,48.65,46.67,58.15,43.57,74.06,44.82,45.99,36.03,106.15,,66.71,20.82,,45.56,100.17,42.86,50.21,47.74,,97.84,78.22,31.09,45.05,85.82,99.78,22.67,22.35,44.23,101.83,143.14,142.01,,27.19,48.28
2020-05-12,101.99,,,107.45,,47.21,9.35,20.7,38.94,55.2,49.24,,81.12,29.12,,19.17,83.93,42.77,108.45,34.09,45.6,25.06,,103.68,,33.25,61.28,57.21,,,36.74,39.62,48.93,22.66,21.84,23.01,21.3,,,,16.81,,,,,,,,,,,,,,,25.49,24.41,24.21,24.49,,23.07,23.28,23.4,23.72,23.68,,,,,43.89,52.7,108.91,121.86,16.48,41.52,48.73,52.7,48.86,46.8,58.72,43.57,73.98,44.88,46.08,36.07,107.17,,67.11,21.02,,45.57,100.35,42.91,50.3,48.07,,97.85,78.24,31.04,45.13,85.79,99.97,22.71,22.49,44.24,101.93,144.05,143.47,,27.15,48.59
2020-05-13,102.16,,,107.47,,47.26,9.37,20.69,38.85,55.15,49.29,,80.64,28.9,,19.09,83.85,42.79,108.71,33.95,45.47,25.11,,103.67,,33.1,60.96,56.91,,,36.53,39.18,49.03,22.69,21.94,23.07,21.37,,,,16.68,,,,,,,,,,,,,,,25.62,24.46,24.27,24.51,,23.07,23.31,23.45,23.76,23.75,,,,,43.91,52.18,109.13,121.94,16.46,41.65,48.79,52.7,48.92,46.77,59.04,43.64,73.98,44.88,46.13,36.1,107.41,,67.23,20.93,,45.6,100.43,42.88,50.42,48.19,,97.85,78.24,30.86,45.12,85.78,99.87,22.73,22.52,44.25,102.02,144.63,144.47,,26.99,48.69
2020-05-14,102.48,,,107.55,,47.3,9.39,20.71,39.03,55.38,49.44,,81.01,28.96,,19.03,83.92,42.78,108.98,33.99,45.6,25.17,,103.82,,33.03,60.75,56.72,,,36.43,39.57,49.03,22.7,21.96,23.12,21.39,,,,16.67,,,,,,,,,,,,,,,25.65,24.52,24.4,24.5,,23.11,23.34,23.47,23.76,23.79,,,,,43.92,52.32,109.3,122.01,16.55,41.91,48.96,53.59,48.84,46.85,59.71,43.62,73.98,44.87,46.22,36.11,108.3,,67.61,21.04,,45.6,100.65,42.94,50.55,48.37,,97.86,78.22,30.83,45.15,85.78,100.15,22.78,22.62,44.24,102.14,145.45,145.89,,27.03,48.91
2020-05-15,102.54,,,107.76,,47.29,9.39,20.78,38.84,55.43,49.44,,81.24,29.07,,19.05,83.82,42.8,109.17,33.98,45.44,25.15,,103.81,,32.98,60.84,56.82,,,36.48,39.12,49.0,22.7,22.03,23.18,21.48,,,,16.69,,,,,,,,,,,,,,,25.66,24.54,24.36,24.56,,23.1,23.33,23.47,23.76,23.77,,,,,43.93,52.47,109.23,122.0,16.71,41.92,49.08,53.73,48.92,46.9,59.64,43.63,73.98,44.95,46.25,36.0,108.68,,67.95,20.98,,45.63,100.93,42.98,50.62,48.49,,97.87,78.27,30.86,45.23,85.85,100.2,22.79,22.66,44.24,102.31,145.07,145.51,,26.98,49.03
2020-05-18,102.39,,,107.47,,47.27,9.35,20.91,39.2,55.41,49.43,,82.65,29.51,,19.34,84.45,42.83,108.9,34.47,45.5,25.0,,103.84,,33.36,61.91,57.89,,,37.08,40.27,48.95,22.8,22.13,23.21,21.52,,,,16.95,,,,,,,,,,,,,,,25.69,24.48,24.44,24.66,,23.13,23.24,23.36,23.65,23.61,,,,,43.94,53.14,108.56,121.7,17.02,41.97,49.18,53.9,49.03,46.93,59.37,43.74,74.29,44.87,46.24,36.66,109.3,,68.92,21.06,,45.63,100.9,42.97,50.58,48.62,,97.87,78.2,31.19,45.25,86.0,100.31,22.76,22.7,44.24,102.3,143.08,142.32,,27.38,49.21
2020-05-19,102.5,,,107.59,,47.23,9.38,20.89,39.09,55.59,49.46,,82.72,29.64,,19.4,84.2,42.84,109.1,34.54,45.49,25.05,,104.06,,33.44,61.99,57.88,,,37.11,39.73,48.96,22.76,22.14,23.29,21.56,,,,16.93,,,,,,,,,,,,,,,25.82,24.65,24.44,24.71,,23.08,23.24,23.41,23.64,23.61,,,,,43.93,53.32,108.86,121.87,16.93,42.19,49.26,53.9,49.12,46.98,59.44,43.77,74.3,44.99,46.28,36.67,109.38,,68.97,21.43,,45.68,101.24,43.0,50.79,48.66,,97.87,78.25,31.22,45.32,86.05,100.56,22.78,22.79,44.24,102.19,143.59,142.85,,27.43,49.24
2020-05-20,102.76,,,107.56,,47.38,9.41,21.12,39.7,55.86,49.61,,84.31,30.19,,19.64,84.5,42.89,109.5,35.0,45.58,25.06,,104.09,,33.78,62.64,58.51,,,37.49,40.59,49.04,22.94,22.25,23.45,21.73,,,,17.11,,,,,,,,,,,,,,,25.83,24.72,24.52,24.76,,23.08,23.24,23.41,23.64,23.69,,,,,43.95,54.0,108.89,121.88,17.17,42.51,49.59,54.77,49.37,47.13,60.18,43.89,74.3,44.98,46.49,37.33,110.59,,69.47,21.54,,45.68,101.35,43.06,50.93,49.03,,97.87,78.25,31.5,45.37,86.06,100.53,22.85,22.93,44.24,102.49,143.83,143.28,,27.74,49.54
2020-05-21,102.84,,,107.63,,47.4,9.42,21.06,39.74,55.94,49.59,,84.28,30.15,,19.62,84.55,42.9,109.89,35.0,45.58,25.08,,104.16,,33.89,62.63,58.42,,,37.36,40.17,49.08,22.96,22.3,23.46,21.82,,,,17.1,,,,,,,,,,,,,,,25.97,24.76,24.59,24.8,,23.07,23.29,23.42,23.72,23.71,,,,,43.97,53.83,108.96,121.89,17.16,42.53,49.64,54.68,49.38,47.13,60.2,44.01,74.43,44.95,46.47,37.57,110.5,,69.51,21.67,,45.72,101.56,43.08,51.0,49.01,,97.86,78.23,31.51,45.41,86.12,100.67,22.89,22.98,44.23,102.38,144.15,143.64,,27.72,49.6
2020-05-22,102.9,,,107.73,,47.43,9.43,21.07,39.59,56.17,49.74,,83.9,30.0,,19.64,84.66,42.89,109.83,35.06,45.57,25.12,,104.17,,34.08,62.78,58.61,,,37.45,40.29,49.14,23.0,22.32,23.55,21.76,,,,17.15,,,,,,,,,,,,,,,26.02,24.84,24.67,24.87,,23.09,23.31,23.45,23.76,23.75,,,,,43.97,54.24,109.17,121.92,17.16,42.62,49.7,54.88,49.15,47.14,60.49,43.92,74.09,44.98,46.53,37.42,110.5,,69.55,21.61,,45.74,101.87,43.07,51.05,49.1,,97.87,78.23,31.59,45.4,86.09,100.81,22.89,23.0,44.23,102.44,144.6,144.5,,27.82,49.65
