Date,AGG,AGIH,AGRH,AGZ,BEMB,BGRN,BMOIX,BYLD,CEMB,CMF,EAGG,ELQD,EMB,EMHY,EUSB,FALN,FIBR,FLOT,GBF,GHYG,GNMA,GOVT,GOVZ,GVI,HYBB,HYDB,HYG,HYGH,HYGI,HYGW,HYXF,HYXU,IAGG,IBDQ,IBDR,IBDS,IBDT,IBDU,IBDV,IBDW,IBDX,IBDY,IBHE,IBHF,IBHG,IBHH,IBHI,IBHJ,IBIB,IBIC,IBID,IBIE,IBIF,IBIG,IBIH,IBII,IBIJ,IBMN,IBMO,IBMP,IBMQ,IBMR,IBTF,IBTG,IBTH,IBTI,IBTJ,IBTK,IBTL,IBTM,IBTO,ICSH,ICVT,IEF,IEI,IGBH,IGEB,IGIB,IGLB,IGOV,IGSB,ILTB,IMTB,ISHG,ISTB,IUSB,LEMB,LQD,LQDB,LQDH,LQDI,LQDW,MEAR,MUB,NEAR,NYF,QLTA,SGOV,SHV,SHY,SHYG,SLQD,STIP,SUB,SUSB,SUSC,TFLO,TIP,TLH,TLT,TLTW,USHY,USIG
2020-05-01,103.08,,,107.75,,47.64,9.45,21.16,40.18,56.18,49.7,,84.61,30.34,,20.07,85.09,42.98,110.03,35.93,45.66,25.07,,104.55,,34.46,63.7,59.26,,,37.93,41.98,49.18,23.16,22.62,22.55,23.74,22.05,,,,,17.44,,,,,,,,,,,,,,,26.1,25.01,24.74,24.98,,23.11,23.33,23.41,23.79,23.77,,,,,44.01,54.97,109.22,122.07,17.43,43.04,50.19,55.43,49.74,47.4,60.61,44.1,74.98,45.16,46.72,38.21,111.62,,70.23,21.93,,45.73,102.44,43.18,51.2,49.37,88.26,97.84,78.25,32.09,45.6,86.28,100.9,22.99,23.22,44.24,102.52,143.98,142.79,,28.29,50.14
2020-06-01,103.76,,,107.81,,48.25,9.51,21.27,41.0,56.07,50.07,,87.13,31.43,44.68,20.43,85.34,43.31,111.0,35.99,45.49,25.11,,105.16,,34.76,63.33,59.01,,,37.85,42.92,49.43,23.51,23.07,23.02,24.3,22.54,21.61,,,,17.5,,,,,,,,,,,,,,,26.12,25.0,24.82,25.04,,23.15,23.37,23.47,23.8,23.79,,,,,44.1,59.46,109.27,122.21,17.7,44.21,51.29,57.22,50.36,47.78,61.71,44.31,75.9,45.34,47.11,38.38,113.99,,71.24,22.55,,45.85,102.82,43.49,51.6,50.04,88.27,97.86,78.27,32.2,45.92,86.87,100.91,23.18,23.65,44.23,103.53,144.24,143.27,,28.46,51.19
2020-07-01,105.14,,,108.47,,48.99,9.65,21.66,42.18,56.87,50.72,,90.49,32.39,45.39,21.85,86.6,43.42,113.18,38.14,45.39,25.39,,105.84,,36.52,66.54,61.73,,,39.7,45.68,49.72,23.75,23.36,23.39,24.93,23.18,22.27,,,,18.25,,,,,,,,,,,,,,,26.43,25.34,25.23,25.5,,23.24,23.5,23.64,23.98,24.01,22.64,,,,44.17,63.86,110.2,122.68,18.28,45.37,52.26,60.35,52.75,48.17,65.17,44.8,78.85,45.6,47.88,39.83,117.53,,72.62,23.49,,45.96,104.3,43.6,52.22,51.33,88.28,97.86,78.34,33.5,46.16,87.46,101.52,23.36,24.33,44.23,105.94,148.27,149.62,,29.95,52.66
2020-08-01,104.28,,,108.17,,48.7,9.57,21.6,42.61,56.61,50.28,,91.14,33.07,45.1,21.92,86.45,43.47,111.61,38.3,45.43,25.08,,105.69,,36.82,66.52,61.9,,,39.64,47.06,49.42,23.85,23.39,23.39,24.78,23.03,22.1,,,,18.35,,,,,,,,,,,,,,,26.38,25.29,25.12,25.34,,23.19,23.42,23.53,23.82,23.75,22.26,,,,44.2,70.4,109.13,122.35,18.42,44.64,52.17,58.16,52.8,48.29,62.75,44.79,79.67,45.7,47.49,39.8,115.44,,72.99,23.77,,45.96,103.69,43.71,51.95,50.45,88.28,97.86,78.32,33.59,46.22,88.45,101.32,23.37,23.92,44.24,106.88,142.85,142.07,,30.06,52.0
2020-09-01,104.18,,,108.1,,49.12,9.56,21.5,42.27,56.52,50.21,,89.25,32.29,45.03,21.58,86.04,43.52,111.44,37.78,45.46,25.14,21.44,105.65,,36.46,65.9,61.33,,,39.43,45.61,49.69,23.78,23.33,23.33,24.69,22.93,22.06,,,,18.26,,,,,,,,,,,,,,,26.4,25.31,25.12,25.3,,23.2,23.45,23.56,23.86,23.83,22.42,,,,44.21,67.84,109.49,122.44,18.4,44.55,51.98,58.0,52.31,48.21,62.61,44.67,78.39,45.65,47.45,39.37,114.93,,72.73,23.62,,45.96,103.82,43.72,51.78,50.28,88.29,97.85,78.32,33.43,46.18,88.29,101.44,23.38,23.87,44.24,106.48,143.94,143.17,,29.79,51.85
2020-10-01,103.59,,,107.87,,49.41,9.51,21.47,42.02,56.17,49.92,,88.84,32.17,44.86,21.86,86.01,43.51,110.73,37.8,45.42,24.87,20.45,105.37,39.36,36.93,66.17,61.82,,,39.77,45.41,49.96,23.8,23.34,23.3,24.64,22.87,21.94,,,,18.35,,,,,,,,,,,,,,,26.34,25.23,25.01,25.16,,23.11,23.38,23.35,23.69,23.67,22.21,,,,44.21,68.06,107.98,121.91,18.72,44.57,51.88,57.35,52.41,48.28,61.5,44.52,78.15,45.64,47.27,39.22,114.34,,73.47,23.75,,45.99,103.28,43.78,51.6,49.93,88.29,97.87,78.28,33.54,46.21,88.15,101.1,23.36,23.8,44.24,105.76,139.9,138.32,,29.97,51.67
2020-11-01,104.84,,,108.1,,49.71,9.61,21.79,43.44,57.11,50.5,,92.59,34.0,45.33,23.01,86.88,43.58,112.27,39.51,45.48,24.99,20.91,105.89,40.61,38.47,68.39,63.7,,,40.92,48.68,50.06,24.05,23.61,23.75,25.18,23.41,22.56,,,,18.91,19.16,,,,,,,,,,,,,,26.48,25.48,25.35,25.56,,23.14,23.35,23.39,23.65,23.57,22.09,,,,44.24,77.9,108.35,122.08,19.59,45.79,53.0,60.79,53.7,48.59,64.19,44.88,79.89,45.89,47.89,41.11,118.65,,75.71,24.56,,46.0,104.96,43.85,52.44,51.27,88.3,97.85,78.3,34.59,46.43,88.63,101.48,23.5,24.51,44.24,107.04,141.38,140.62,,31.02,53.18
2020-12-01,104.93,,,108.08,,49.87,9.62,21.89,43.95,57.24,50.53,,94.58,35.02,45.38,23.68,87.42,43.59,112.53,40.56,45.59,24.8,20.6,106.14,41.33,39.26,69.72,64.87,,,41.5,50.15,50.33,24.19,23.77,23.89,25.3,23.49,22.65,,,,19.24,19.5,,,,,,,,,,,,,,26.54,25.53,25.43,25.69,,23.17,23.38,23.41,23.62,23.52,22.0,,,,44.25,84.07,108.09,122.22,19.92,46.08,53.27,60.78,55.04,48.79,64.23,45.12,81.86,46.03,48.07,42.59,118.83,,76.61,25.02,,46.07,105.66,43.92,52.85,51.26,88.3,97.87,78.33,35.16,46.59,89.41,101.79,23.58,24.55,44.24,108.21,139.89,138.9,,31.71,53.35
2021-01-01,104.15,,,108.02,,49.56,9.55,21.69,43.77,57.46,50.18,,92.9,34.54,45.1,23.64,87.18,43.7,111.12,40.39,45.48,24.68,19.48,105.75,41.13,39.27,69.46,64.81,,,41.19,49.9,50.02,24.09,23.66,23.86,25.08,23.21,22.31,,,,19.18,19.45,,,,,,,,,,,,,,26.59,25.6,25.52,25.77,,23.12,23.28,23.26,23.43,23.27,21.71,,,,44.26,86.93,106.91,121.88,19.88,45.52,52.84,59.13,54.17,48.75,62.37,44.98,81.09,46.04,47.79,42.14,116.66,,76.32,24.94,,46.06,106.02,43.97,52.99,50.46,88.31,97.86,78.35,35.11,46.52,89.86,101.84,23.55,24.2,44.25,108.5,135.73,133.85,,31.64,52.69
2021-02-01,102.57,,,107.2,,48.66,9.4,21.37,43.61,56.46,49.41,,90.07,34.26,44.46,23.63,85.88,43.72,108.93,40.41,45.06,24.23,17.99,104.72,41.04,39.51,69.29,65.29,,,41.05,49.93,49.18,23.87,23.4,23.52,24.69,22.76,21.78,,,,19.29,19.49,,,,,,,,,,,,,,26.25,25.26,25.03,25.21,,22.9,22.96,22.79,22.94,22.72,21.09,,,,44.27,90.51,104.38,120.54,20.12,44.78,52.02,57.16,52.69,48.61,59.69,44.43,80.78,45.87,47.08,41.13,114.02,,76.69,24.42,,46.05,104.37,43.99,52.37,49.44,88.31,97.86,78.3,35.33,46.41,90.02,101.46,23.48,23.77,44.25,106.67,128.6,126.18,,31.68,51.72
